,objective,l_rate,dataset,image_or_language,beta_beta,free_bits,mdr_value,l_mmd,decoder,run_name
INFO-VAE l_Rate 0.1 l_MMD 1 dec: CNN.T,INFO-VAE,0.1,bmnist,image,0,0,0,1,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17"
INFO-VAE l_Rate 0.1 l_MMD 1 dec: PixelCNN++,INFO-VAE,0.1,bmnist,image,0,0,0,1,cond_pixel_cnn_pp,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:38:22"
INFO-VAE l_Rate 0.1 l_MMD 10 dec: CNN.T,INFO-VAE,0.1,bmnist,image,0,0,0,10,basic_deconv_decoder,"(20-jan bmnist) INFO-VAE[l_1_rate=0.1, l_2_mmd=10.0] | CNN.T | Nz=10"
INFO-VAE l_Rate 0.1 l_MMD 10 dec: PixelCNN++,INFO-VAE,0.1,bmnist,image,0,0,0,10,cond_pixel_cnn_pp,"(20-jan bmnist) INFO-VAE[l_1_rate=0.1, l_2_mmd=10.0] | PixelCNN++ | Nz=10"
INFO-VAE l_Rate 0.1 l_MMD 100 dec: CNN.T,INFO-VAE,0.1,bmnist,image,0,0,0,100,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17"
INFO-VAE l_Rate 0.1 l_MMD 100 dec: PixelCNN++,INFO-VAE,0.1,bmnist,image,0,0,0,100,cond_pixel_cnn_pp,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:50:21"
INFO-VAE l_Rate 0.5 l_MMD 1 dec: CNN.T,INFO-VAE,0.5,bmnist,image,0,0,0,1,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.5, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-19:38:35"
INFO-VAE l_Rate 0.5 l_MMD 1 dec: PixelCNN++,INFO-VAE,0.5,bmnist,image,0,0,0,1,cond_pixel_cnn_pp,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.5, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-19:37:43"
INFO-VAE l_Rate 0.5 l_MMD 10 dec: CNN.T,INFO-VAE,0.5,bmnist,image,0,0,0,10,basic_deconv_decoder,"(20-jan bmnist) INFO-VAE[l_1_rate=0.5, l_2_mmd=10.0] | CNN.T | Nz=10"
INFO-VAE l_Rate 0.5 l_MMD 10 dec: PixelCNN++,INFO-VAE,0.5,bmnist,image,0,0,0,10,cond_pixel_cnn_pp,"(20-jan bmnist) INFO-VAE[l_1_rate=0.5, l_2_mmd=10.0] | PixelCNN++ | Nz=10"
INFO-VAE l_Rate 0.5 l_MMD 100 dec: CNN.T,INFO-VAE,0.5,bmnist,image,0,0,0,100,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.5, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-19:39:05"
INFO-VAE l_Rate 0.5 l_MMD 100 dec: PixelCNN++,INFO-VAE,0.5,bmnist,image,0,0,0,100,cond_pixel_cnn_pp,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.5, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-19:38:05"
INFO-VAE l_Rate 1 l_MMD 1 dec: CNN.T,INFO-VAE,1,bmnist,image,0,0,0,1,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=1.0, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-15:12:25"
INFO-VAE l_Rate 1 l_MMD 1 dec: PixelCNN++,INFO-VAE,1,bmnist,image,0,0,0,1,cond_pixel_cnn_pp,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=1.0, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:35:41"
INFO-VAE l_Rate 1 l_MMD 10 dec: CNN.T,INFO-VAE,1,bmnist,image,0,0,0,10,basic_deconv_decoder,"(20-jan bmnist) INFO-VAE[l_1_rate=1.0, l_2_mmd=10.0] | CNN.T | Nz=10"
INFO-VAE l_Rate 1 l_MMD 10 dec: PixelCNN++,INFO-VAE,1,bmnist,image,0,0,0,10,cond_pixel_cnn_pp,"(20-jan bmnist) INFO-VAE[l_1_rate=1.0, l_2_mmd=10.0] | PixelCNN++ | Nz=10"
INFO-VAE l_Rate 1 l_MMD 100 dec: CNN.T,INFO-VAE,1,bmnist,image,0,0,0,100,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=1.0, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-15:12:25"
INFO-VAE l_Rate 1 l_MMD 100 dec: PixelCNN++,INFO-VAE,1,bmnist,image,0,0,0,100,cond_pixel_cnn_pp,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=1.0, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:36:59"
INFO-VAE l_Rate 2 l_MMD 1 dec: CNN.T,INFO-VAE,2,bmnist,image,0,0,0,1,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=2.0, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-19:51:08"
INFO-VAE l_Rate 2 l_MMD 1 dec: PixelCNN++,INFO-VAE,2,bmnist,image,0,0,0,1,cond_pixel_cnn_pp,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=2.0, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-19:38:05"
INFO-VAE l_Rate 2 l_MMD 10 dec: CNN.T,INFO-VAE,2,bmnist,image,0,0,0,10,basic_deconv_decoder,"(20-jan bmnist) INFO-VAE[l_1_rate=2.0, l_2_mmd=10.0] | CNN.T | Nz=10"
INFO-VAE l_Rate 2 l_MMD 10 dec: PixelCNN++,INFO-VAE,2,bmnist,image,0,0,0,10,cond_pixel_cnn_pp,"(20-jan bmnist) INFO-VAE[l_1_rate=2.0, l_2_mmd=10.0] | PixelCNN++ | Nz=10"
