,phase,IW LL,MMD,PPL,distortion,elbo,kl_prior_post,mean_mean,mean_scale,std_across_x_mean,std_across_x_scale,std_across_z_mean,std_across_z_scale,hyper params,objective,l_rate,dataset,image_or_language,beta_beta,free_bits,mdr_value,l_mmd,decoder,run_name
INFO-VAE l_Rate 0.1 l_MMD 1 dec: CNN.T,test,-101.84837935638427,0.11247670650482178,,67.34091891518122,-105.26017741915545,37.91925869712347,0.18487148015182228,0.03694940532875966,1.3132608510270904,0.008951258798471735,1.334510465211506,0.008604486826571483,"{'objective': 'INFO-VAE', 'l_rate': 0.1, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 0.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 1, 'decoder': 'basic_deconv_decoder', 'run_name': '(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17'}",INFO-VAE,0.1,bmnist,image,0.0,0,0,1,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17"
INFO-VAE l_Rate 0.1 l_MMD 1 dec: CNN.T,valid,-102.69886341094971,0.10911428928375244,,67.66468545454967,-105.65118697926968,37.98650147643271,0.17010934141617787,0.036762488840878765,1.3173819493643846,0.008915183694349437,1.3386007864263993,0.008570934374687037,"{'objective': 'INFO-VAE', 'l_rate': 0.1, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 0.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 1, 'decoder': 'basic_deconv_decoder', 'run_name': '(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17'}",INFO-VAE,0.1,bmnist,image,0.0,0,0,1,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17"
INFO-VAE l_Rate 0.1 l_MMD 1 dec: CNN.T,train,,0.11138606071472168,,62.17337820536035,-100.28782039164277,38.114442049694794,0.16968526960829336,0.03677241598515559,1.3281527077755355,0.008922418384143458,1.3462787375730627,0.008637589924132733,"{'objective': 'INFO-VAE', 'l_rate': 0.1, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 0.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 1, 'decoder': 'basic_deconv_decoder', 'run_name': '(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17'}",INFO-VAE,0.1,bmnist,image,0.0,0,0,1,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17"
INFO-VAE l_Rate 0.1 l_MMD 1 dec: PixelCNN++,test,-93.79325193786622,0.06836163997650146,,50.196447396580176,-96.39271796504154,46.196270278737515,-0.14103618558920636,0.013598762935947013,1.1670170735709275,0.002962120154377403,1.18511815765236,0.004404978897375397,"{'objective': 'INFO-VAE', 'l_rate': 0.1, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 0.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 1, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:38:22'}",INFO-VAE,0.1,bmnist,image,0.0,0,0,1,cond_pixel_cnn_pp,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:38:22"
INFO-VAE l_Rate 0.1 l_MMD 1 dec: PixelCNN++,valid,-92.49425511169433,0.06338584423065186,,50.566032119944126,-96.65505401997626,46.089022141468675,-0.13327880161283892,0.013563180224427695,1.1637238882764984,0.002921624247668476,1.1721595435202876,0.0043789950977492186,"{'objective': 'INFO-VAE', 'l_rate': 0.1, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 0.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 1, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:38:22'}",INFO-VAE,0.1,bmnist,image,0.0,0,0,1,cond_pixel_cnn_pp,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:38:22"
INFO-VAE l_Rate 0.1 l_MMD 1 dec: PixelCNN++,train,,0.06643521785736084,,49.21947279244738,-95.30048038648522,46.0810076525754,-0.12895625055579427,0.013557393816025817,1.1631622738240626,0.0029482899604084166,1.1722636058202485,0.004389184450878359,"{'objective': 'INFO-VAE', 'l_rate': 0.1, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 0.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 1, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:38:22'}",INFO-VAE,0.1,bmnist,image,0.0,0,0,1,cond_pixel_cnn_pp,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=1.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:38:22"
INFO-VAE l_Rate 0.1 l_MMD 100 dec: CNN.T,test,-99.7206392211914,0.004549264907836914,,68.00036934961247,-102.22883354863033,34.22846434387979,-0.025519040942227445,0.037161088442500635,1.0042401755912393,0.011701065681497508,0.9747033262554603,0.01555301557896258,"{'objective': 'INFO-VAE', 'l_rate': 0.1, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 0.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 100, 'decoder': 'basic_deconv_decoder', 'run_name': '(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17'}",INFO-VAE,0.1,bmnist,image,0.0,0,0,100,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17"
INFO-VAE l_Rate 0.1 l_MMD 100 dec: CNN.T,valid,-99.62975520324707,0.003865480422973633,,68.23310871365705,-102.59368915799298,34.360580685772476,-0.024068228457612282,0.03726429680857477,1.0212842060040823,0.011641176629670059,0.986784784854213,0.015530169988640501,"{'objective': 'INFO-VAE', 'l_rate': 0.1, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 0.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 100, 'decoder': 'basic_deconv_decoder', 'run_name': '(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17'}",INFO-VAE,0.1,bmnist,image,0.0,0,0,100,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17"
INFO-VAE l_Rate 0.1 l_MMD 100 dec: CNN.T,train,,0.003641486167907715,,63.824713392330864,-98.31256622548604,34.487852852667686,-0.020691320443276703,0.037281305312424365,1.0335704068393659,0.011645710198184871,0.9958998591393766,0.015576075793474989,"{'objective': 'INFO-VAE', 'l_rate': 0.1, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 0.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 100, 'decoder': 'basic_deconv_decoder', 'run_name': '(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17'}",INFO-VAE,0.1,bmnist,image,0.0,0,0,100,basic_deconv_decoder,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-10-05-18:13:17"
INFO-VAE l_Rate 0.1 l_MMD 100 dec: PixelCNN++,test,-79.2015577468872,0.0003603696823120117,,80.34682145903382,-80.35107866118226,0.004259351758828646,-0.006687812807769338,0.996137698239918,2.1971217404514598e-05,7.44927726108345e-05,0.024249371895684473,0.011696706337359133,"{'objective': 'INFO-VAE', 'l_rate': 0.1, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 0.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 100, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:50:21'}",INFO-VAE,0.1,bmnist,image,0.0,0,0,100,cond_pixel_cnn_pp,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:50:21"
INFO-VAE l_Rate 0.1 l_MMD 100 dec: PixelCNN++,valid,-81.55201719665527,0.00019276142120361328,,80.7668578715264,-80.77111507367484,0.00425944625270329,-0.006687898406923949,0.996136269991911,2.201659326947035e-05,7.325776224908761e-05,0.024249353929411008,0.01169662199961611,"{'objective': 'INFO-VAE', 'l_rate': 0.1, 'dataset': 'bmnist', 'image_or_language': 'image', 'beta_beta': 0.0, 'free_bits': 0, 'mdr_value': 0, 'l_mmd': 100, 'decoder': 'cond_pixel_cnn_pp', 'run_name': '(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:50:21'}",INFO-VAE,0.1,bmnist,image,0.0,0,0,100,cond_pixel_cnn_pp,"(inf-vae-exp 5 oct) INFO-VAE[l_1_rate=0.1, l_2_mmd=100.0] | q(z|x) independent_gaussian | p(x|z) cond_pixel_cnn_pp | p(z) isotropic_gaussian | D = 10 | 2021-10-05-16:50:21"
