,mmd,one_sample_ks,two_sample_kl,rate
INFO-VAE l_Rate 0.1 l_MMD 1 dec: CNN.T,0.1175987496972084,0.11806078955701216,0.11935000000000007,38.19204330444336
INFO-VAE l_Rate 0.1 l_MMD 1 dec: PixelCNN++,0.0657581090927124,0.06257414707713457,0.06430000000000001,45.91585159301758
INFO-VAE l_Rate 0.1 l_MMD 10 dec: CNN.T,0.0613643079996109,0.03868966926019332,0.041200000000000014,36.68600082397461
INFO-VAE l_Rate 0.1 l_MMD 10 dec: PixelCNN++,0.024854809045791626,0.014071090229759942,0.01915,35.76526641845703
INFO-VAE l_Rate 0.1 l_MMD 100 dec: CNN.T,0.00441405177116394,0.01740762287765829,0.023600000000000065,34.324851989746094
INFO-VAE l_Rate 0.1 l_MMD 100 dec: PixelCNN++,0.0005462765693664551,0.007871287229289314,0.01485000000000003,0.00425951462239027
INFO-VAE l_Rate 0.5 l_MMD 1 dec: CNN.T,0.021984606981277466,0.024010335694557794,0.02454999999999996,25.636306762695312
INFO-VAE l_Rate 0.5 l_MMD 1 dec: PixelCNN++,0.004903122782707214,0.009350439743309957,0.011849999999999972,26.1553897857666
INFO-VAE l_Rate 0.5 l_MMD 10 dec: CNN.T,0.04580168426036835,0.05874053851411931,0.06469999999999998,24.32648468017578
INFO-VAE l_Rate 0.5 l_MMD 10 dec: PixelCNN++,0.0001920759677886963,0.010830809487403448,0.008600000000000024,0.002058962360024452
INFO-VAE l_Rate 0.5 l_MMD 100 dec: CNN.T,0.004322528839111328,0.018216955154229386,0.012199999999999989,25.03473663330078
INFO-VAE l_Rate 0.5 l_MMD 100 dec: PixelCNN++,-0.00021535158157348633,0.004539670428165721,0.008849999999999969,0.002844051690772176
INFO-VAE l_Rate 1 l_MMD 1 dec: CNN.T,0.009675711393356323,0.014703982004630328,0.01940000000000003,20.747652053833008
INFO-VAE l_Rate 1 l_MMD 1 dec: PixelCNN++,3.948807716369629e-05,0.006093836906271022,0.012700000000000045,0.0003937312285415828
INFO-VAE l_Rate 1 l_MMD 10 dec: CNN.T,0.01884371042251587,0.026684592471190594,0.03450000000000003,19.47992515563965
INFO-VAE l_Rate 1 l_MMD 10 dec: PixelCNN++,-8.934736251831055e-05,0.008194793763955266,0.005700000000000038,0.0005359756178222597
INFO-VAE l_Rate 1 l_MMD 100 dec: CNN.T,0.0033441781997680664,0.008482099482794131,0.009149999999999991,20.41016960144043
INFO-VAE l_Rate 1 l_MMD 100 dec: PixelCNN++,0.00010058283805847168,0.0056330480195915245,0.006950000000000012,0.002527090720832348
INFO-VAE l_Rate 2 l_MMD 1 dec: CNN.T,0.005619138479232788,0.014599642462038931,0.01475000000000004,15.706827163696289
INFO-VAE l_Rate 2 l_MMD 1 dec: PixelCNN++,0.0007090270519256592,0.010335378460217037,0.013650000000000051,0.00267605297267437
INFO-VAE l_Rate 2 l_MMD 10 dec: CNN.T,0.00997103750705719,0.013772908561700048,0.020699999999999996,14.736777305603027
INFO-VAE l_Rate 2 l_MMD 10 dec: PixelCNN++,-2.446770668029785e-05,0.003977764359754721,0.009699999999999986,0.0004858757311012596
INFO-VAE l_Rate 2 l_MMD 100 dec: CNN.T,0.0017744004726409912,0.004115737890528326,0.008850000000000025,15.900978088378906
INFO-VAE l_Rate 2 l_MMD 100 dec: PixelCNN++,0.0011446326971054077,0.014741684107774905,0.01915,0.011159681715071201
INFO-VAE l_Rate 5 l_MMD 1 dec: CNN.T,0.0009124577045440674,0.007759996085987209,0.007050000000000001,8.903777122497559
INFO-VAE l_Rate 5 l_MMD 1 dec: PixelCNN++,-0.0004892647266387939,0.00959501398293644,0.008750000000000008,0.0001891290448838845
INFO-VAE l_Rate 5 l_MMD 10 dec: CNN.T,0.00417916476726532,0.010635187383364664,0.014400000000000024,8.406808853149414
INFO-VAE l_Rate 5 l_MMD 10 dec: PixelCNN++,0.0007370114326477051,0.006905489749692184,0.01055000000000006,0.00041380670154467225
INFO-VAE l_Rate 5 l_MMD 100 dec: CNN.T,0.0009258091449737549,0.012356204946995353,0.012600000000000056,9.063040733337402
INFO-VAE l_Rate 5 l_MMD 100 dec: PixelCNN++,0.00019297003746032715,0.004196532842193346,0.008950000000000014,0.003221421502530575
INFO-VAE l_Rate 10 l_MMD 1 dec: CNN.T,0.001074373722076416,0.008119106940901899,0.009650000000000047,3.4141860008239746
INFO-VAE l_Rate 10 l_MMD 1 dec: PixelCNN++,0.00013646483421325684,0.005863034787131571,0.013299999999999979,0.00014858623035252094
INFO-VAE l_Rate 10 l_MMD 10 dec: CNN.T,0.0009874701499938965,0.005304248820316881,0.010199999999999987,3.2798147201538086
INFO-VAE l_Rate 10 l_MMD 10 dec: PixelCNN++,-0.00012302398681640625,0.00462044640683601,0.010099999999999998,0.00013798155123367906
INFO-VAE l_Rate 10 l_MMD 100 dec: CNN.T,0.00025916099548339844,0.006830710391409034,0.00880000000000003,3.221104621887207
INFO-VAE l_Rate 10 l_MMD 100 dec: PixelCNN++,1.1980533599853516e-05,0.005571574013470998,0.008900000000000019,0.0007374702836386859
BETA-VAE beta 0.25 dec: CNN.T,0.06124904751777649,0.058197771403558196,0.05964999999999998,30.695987701416016
BETA-VAE beta 0.25 dec: PixelCNN++,0.029318735003471375,0.022524462782085225,0.023800000000000043,38.59636306762695
